,No.,Nama Instagram,Komentar,Kategori,Tanggal Posting,Nama Akun IG  Artis/Selebgram,Unnamed: 6,Unnamed: 7,Teks_Bersih,Tokens
109,110,@ajengrahayu80,"""@_dy1412 buset cantik diedit aja mba, coba dah aslinya dah kayak buntelan kentut""",Bullying,7 Desember 2020,@rosameldianti_,,,buset cantik edit mbak coba deh asli deh kayak buntel kentut,"['buset', 'cantik', 'edit', 'mbak', 'coba', 'deh', 'asli', 'deh', 'kayak', 'buntel', 'kentut']"
110,111,@sufiliams,"""atas bawah hitam putih, kek kopi luwak""",Bullying,7 Desember 2020,@rosameldianti_,,,hitam putih kayak kopi luwak,"['hitam', 'putih', 'kayak', 'kopi', 'luwak']"
111,112,@kikysisilyaa,"""Palsu badane diedit semua tu, aslinya dimana2 lemak""",Bullying,7 Desember 2020,@rosameldianti_,,,palsu badane edit asli lemak,"['palsu', 'badane', 'edit', 'asli', 'lemak']"
112,113,@taniaaw123,"""Udah dapat kontrak dari skincare ttp aja buluk mel""",Bullying,7 Desember 2020,@rosameldianti_,,,kontrak skincare buluk mel,"['kontrak', 'skincare', 'buluk', 'mel']"
113,114,@bunda_jannah,"""heran sama netizen klo gk suka jangan diliat aja""",Non-bullying,7 Desember 2020,@rosameldianti_,,,heran netizen kalo enggak suka,"['heran', 'netizen', 'kalo', 'enggak', 'suka']"
114,115,@sanainahpurnamasari,"""sukses selalu yah ka @rosameldianti_ semangat""",Non-bullying,7 Desember 2020,@rosameldianti_,,,sukses kak semangat,"['sukses', 'kak', 'semangat']"
115,116,@rereresty94,"""Jujur aku lebih suka meldi yang sekarang daripada yang dulu suka ngehujat orang""",Non-bullying,7 Desember 2020,@rosameldianti_,,,jujur suka meldi suka hujat orang,"['jujur', 'suka', 'meldi', 'suka', 'hujat', 'orang']"
116,117,@santi_azkadinasakhi,"""sumpah aslinya muka lo lebar kayak baskom loh mel @rosameldianti_""",Bullying,7 Desember 2020,@rosameldianti_,,,sumpah asli muka lo lebar kayak baskom loh mel,"['sumpah', 'asli', 'muka', 'lo', 'lebar', 'kayak', 'baskom', 'loh', 'mel']"
117,118,@cece_rossalien,"""Berkarya teros meldi walo ga ada yg nuntun kamu.""",Non-bullying,7 Desember 2020,@rosameldianti_,,,karya ros meldi walo enggak nuntun,"['karya', 'ros', 'meldi', 'walo', 'enggak', 'nuntun']"
118,119,@wats_yor_namber,"""Astaghfirullah, seram sekali ya bun seperti ular jelmaan makhluk halus ya bun""",Bullying,30 November 2020,@rosameldianti_,,,astaghfirullah seram bun ular jelma makhluk halus bun,"['astaghfirullah', 'seram', 'bun', 'ular', 'jelma', 'makhluk', 'halus', 'bun']"
119,120,@choyrohnissaakbar,"""Dan yang paling saya heran cowokpun ikut ngebully, sabar meldi.""",Non-bullying,30 November 2020,@rosameldianti_,,,heran cowok ngebully sabar meldi,"['heran', 'cowok', 'ngebully', 'sabar', 'meldi']"
120,121,@rubybee_16,"""Astaga Ratu edit muka.. Sumpah seren kayak film setan2 gitu..""",Bullying,30 November 2020,@rosameldianti_,,,astaga ratu edit muka sumpah seren kayak film setan,"['astaga', 'ratu', 'edit', 'muka', 'sumpah', 'seren', 'kayak', 'film', 'setan']"
121,122,@fita_farah ,"""Matanya kayak katarak anjir AHAHAH""",Bullying,30 November 2020,@rosameldianti_,,,mata kayak katarak anjir ahahah,"['mata', 'kayak', 'katarak', 'anjir', 'ahahah']"
122,123,@amandanna30,"""Caption aja COPAS! Cantumin credit dong, dasar iblis""",Bullying,30 November 2020,@rosameldianti_,,,caption copas cantumin credit dasar iblis,"['caption', 'copas', 'cantumin', 'credit', 'dasar', 'iblis']"
123,124,@julypit_ ,"""Unfoll aja daripada kalian dosa ngebully2 terus..""",Non-bullying,30 November 2020,@rosameldianti_,,,unfol dosa ngebully,"['unfol', 'dosa', 'ngebully']"
124,125,@hamzahifidafadafa,"""Meldi aku perhatikan kamu seperti orang china deh.. cantik""",Non-bullying,30 November 2020,@rosameldianti_,,,meldi perhati orang china deh cantik,"['meldi', 'perhati', 'orang', 'china', 'deh', 'cantik']"
125,126,@kikysisilyaa,"""Editan softlensnya keluar itu mbaknya, kayak ratu titisan ular kamu wkwkwk""",Bullying,30 November 2020,@rosameldianti_,,,edit softlensnya mbak kayak ratu titis ular wkwkwk,"['edit', 'softlensnya', 'mbak', 'kayak', 'ratu', 'titis', 'ular', 'wkwkwk']"
126,127,@neng_fitri_masraina,"""Kasihan ular dibawa bawa kamu gak pantas jadi ular pantasnya jadi bunglon atau buaya..""",Bullying,30 November 2020,@rosameldianti_,,,kasihan ular bawa bawa enggak ular pantas bunglon buaya,"['kasihan', 'ular', 'bawa', 'bawa', 'enggak', 'ular', 'pantas', 'bunglon', 'buaya']"
127,128,@evaelvaninda,"""Maju trus ya sayang.. abaikan orang2 yg comment menyakitkan""",Non-bullying,30 November 2020,@rosameldianti_,,,maju sayang abai orang comment sakit,"['maju', 'sayang', 'abai', 'orang', 'comment', 'sakit']"
128,129,@bilqistiarais,"""Kasihan ya kamu @rosameldianti_ Hidup sekali cuman buat bahan hujatan masyarakat Mubadzir banget deh hidup lo Napa gak bunuh diri aja?""",Bullying,30 November 2020,@rosameldianti_,,,kasihan hidup cuman bahan hujat masyarakat mubadzir deh hidup lo enggak bunuh,"['kasihan', 'hidup', 'cuman', 'bahan', 'hujat', 'masyarakat', 'mubadzir', 'deh', 'hidup', 'lo', 'enggak', 'bunuh']"
129,130,@kevin_mara88,"""Semangat mel, bahasa asing mah yang penting kita berani pasti entarnya bisa""",Non-bullying,10 Januari 2021,@rosameldianti_,,,semangat mel bahasa asing berani entar,"['semangat', 'mel', 'bahasa', 'asing', 'berani', 'entar']"
130,131,@sidrarachman,"""Beda sama d foto yaa.. Disini lebar banget mukanya maaf itu kalau foto editan ya""",Bullying,10 Januari 2021,@rosameldianti_,,,beda foto lebar muka maaf foto edit,"['beda', 'foto', 'lebar', 'muka', 'maaf', 'foto', 'edit']"
131,132,@innetrii,"""Meldi meskipun kadang mulut ku tak bisa di rem karena kehaluanmu, tapi aku bangga akan berusaha mu, yuhuuu""",Non-bullying,10 Januari 2021,@rosameldianti_,,,meldi mulut ku tak rem haluan bangga usaha mu yuhu,"['meldi', 'mulut', 'ku', 'tak', 'rem', 'haluan', 'bangga', 'usaha', 'mu', 'yuhu']"
132,133,@indrilestari091197,"""Lupa di edit ya tu muka melar""",Bullying,10 Januari 2021,@rosameldianti_,,,lupa edit muka melar,"['lupa', 'edit', 'muka', 'melar']"
133,134,@luvmeltedcheese,"""Semangatt, kesalahan dalam belajar bahasa asing itu penting. Karena itu pembelajaran utamanya, supaya kesalahannya ga terulang""",Non-bullying,10 Januari 2021,@rosameldianti_,,,semangat salah ajar bahasa asing ajar utama salah enggak ulang,"['semangat', 'salah', 'ajar', 'bahasa', 'asing', 'ajar', 'utama', 'salah', 'enggak', 'ulang']"
134,135,@macorask,"""Kereennnn.. dari bully.an netizen menjadikanmu mau belajar""",Non-bullying,10 Januari 2021,@rosameldianti_,,,keren bully an netizen jadi ajar,"['keren', 'bully', 'an', 'netizen', 'jadi', 'ajar']"
135,136,@vellan_qerry_xeynando,"""Hiiihhh jiik lihat nih orang auranya buruk bgt gak ada manis manisnya""",Bullying,10 Januari 2021,@rosameldianti_,,,hiiih jiik lihat nih orang aura buruk enggak manis manis,"['hiiih', 'jiik', 'lihat', 'nih', 'orang', 'aura', 'buruk', 'enggak', 'manis', 'manis']"
136,137,@fimauni,"""Semangat untuk belajar ya saya uga gak bisa bahasa inggris""",Non-bullying,10 Januari 2021,@rosameldianti_,,,semangat ajar enggak bahasa inggris,"['semangat', 'ajar', 'enggak', 'bahasa', 'inggris']"
137,138,@lie_3071,"""Yang penting ada niat.. dan keberanian""",Non-bullying,10 Januari 2021,@rosameldianti_,,,niat berani,"['niat', 'berani']"
138,139,@momski_sri,"""Salut Mel.. semangat belajar, yg ngetawain juga belum tentu bisa Dan berani..""",Non-bullying,10 Januari 2021,@rosameldianti_,,,salut mel semangat ajar ngetawain berani,"['salut', 'mel', 'semangat', 'ajar', 'ngetawain', 'berani']"
139,140,@yoan_gunarto22,"""Gpp Mel semangat buat belajar trusssss jangan gampang nyerah pokoknya @rosameldianti_""",Non-bullying,10 Januari 2021,@rosameldianti_,,,gp mel semangat ajar gampang nyerah pokok,"['gp', 'mel', 'semangat', 'ajar', 'gampang', 'nyerah', 'pokok']"
140,141,@qoriah7588,"""Setidaknya dia ngaku. bukan belagak pintar""",Non-bullying,10 Januari 2021,@rosameldianti_,,,tidak aku bagak pintar,"['tidak', 'aku', 'bagak', 'pintar']"
141,142,@apelu.liat2,"""Masih jauh kalo ngarep bisa ikutan kontes miss earth , makanya dari kecil les inggris biar lidahnya gak keseleo""",Bullying,10 Januari 2021,@rosameldianti_,,,kalo harap ikut kontes mis earth les inggris biar lidah enggak keseleo,"['kalo', 'harap', 'ikut', 'kontes', 'mis', 'earth', 'les', 'inggris', 'biar', 'lidah', 'enggak', 'keseleo']"
142,143,@tiara_amd,"""Cuma di postingan ini ya bund netizen sedikit yang menghujat""",Non-bullying,29 November 2020,@rosameldianti_,,,postingan bunda netizen hujat,"['postingan', 'bunda', 'netizen', 'hujat']"
143,144,@pikoochar,"""Happy birthday Mel sehat dan Sukses yah, Aamiin""",Non-bullying,29 November 2020,@rosameldianti_,,,happy birthday mel sehat sukses amin,"['happy', 'birthday', 'mel', 'sehat', 'sukses', 'amin']"
144,145,@dwitrynurvita,"""Happy Birthday kak Meldi yang imut n ngegemesin. Tambah sukses selalu""",Non-bullying,29 November 2020,@rosameldianti_,,,happy birthday kak meldi imut n gemas sukses,"['happy', 'birthday', 'kak', 'meldi', 'imut', 'n', 'gemas', 'sukses']"
145,146,@goldyfonda,"""Ya ampun ketiak dan lemaknya editan parah wkwk""",Bullying,29 November 2020,@rosameldianti_,,,ampun ketiak lemak edit parah wkwk,"['ampun', 'ketiak', 'lemak', 'edit', 'parah', 'wkwk']"
146,147,@wina_lim0922,"""Ketiaknya habis di amplas mel, alus banget""",Bullying,29 November 2020,@rosameldianti_,,,ketiak habis amplas mel alus,"['ketiak', 'habis', 'amplas', 'mel', 'alus']"
147,148,@kimoratwindy,"""Udah diedit gitu, ketiak lu tetap hitam""",Bullying,29 November 2020,@rosameldianti_,,,edit ketiak lu hitam,"['edit', 'ketiak', 'lu', 'hitam']"
148,149,@zamaleling,"""Selamat ulang tahun mel, udah yah jangan banyak tingkah""",Non-bullying,29 November 2020,@rosameldianti_,,,selamat ulang mel tingkah,"['selamat', 'ulang', 'mel', 'tingkah']"
149,150,@jualconversesecond24,"""Mukanya kuning banget kaya kunyit""",Bullying,29 November 2020,@rosameldianti_,,,muka kuning kayak kunyit,"['muka', 'kuning', 'kayak', 'kunyit']"
150,151,@harhexa,"""Selamat ulang tahun meldi sukses dan sehat terus ya.""",Non-bullying,29 November 2020,@rosameldianti_,,,selamat ulang meldi sukses sehat,"['selamat', 'ulang', 'meldi', 'sukses', 'sehat']"
151,152,@rika_chuby,"""Fotonya lainnya jangan yang ini, kan masih banyak yang lebih cantik ihhh biar gak kena hujat kamu ihh, aku mah kasihan""",Non-bullying,29 November 2020,@rosameldianti_,,,foto cantik ih biar enggak kena hujat ih kasihan,"['foto', 'cantik', 'ih', 'biar', 'enggak', 'kena', 'hujat', 'ih', 'kasihan']"
152,153,@raffa_wahyu_abadi88,"""HBD meldi Semoga sukses selalu dan panjang umur dan rejekinya di lancarkan.. Amin""",Non-bullying,29 November 2020,@rosameldianti_,,,hbd meldi moga sukses umur rejekinya lancar amin,"['hbd', 'meldi', 'moga', 'sukses', 'umur', 'rejekinya', 'lancar', 'amin']"
153,154,@idcwhouareee,"""Perasaan kemarin lengannya kekar banget kek petinju, udah gitu ketiaknya juga hitam. Kok difoto ini lengannya jadi kecil, ketiaknya putih kek dibedakin""",Bullying,29 November 2020,@rosameldianti_,,,asa kemarin lengan kekar kayak tinju ketiak hitam foto lengan ketiak putih kayak dibedakin,"['asa', 'kemarin', 'lengan', 'kekar', 'kayak', 'tinju', 'ketiak', 'hitam', 'foto', 'lengan', 'ketiak', 'putih', 'kayak', 'dibedakin']"
154,155,@_simaistia25bu,"""Selamat Ulang Tahun kak @rosameldianti_, banyaknya sadar dan jangan pansos lagi yah. Amin""",Non-bullying,29 November 2020,@rosameldianti_,,,selamat ulang kak banyak sadar pansos amin,"['selamat', 'ulang', 'kak', 'banyak', 'sadar', 'pansos', 'amin']"
155,156,@pipidz888,"""Hbd cantik semoga kedepannya tambah sukses""",Non-bullying,29 November 2020,@rosameldianti_,,,hbd cantik moga depan sukses,"['hbd', 'cantik', 'moga', 'depan', 'sukses']"
156,157,@niken_mutiara_sary,"""Hbd mbak mel tambah cantik di panjangkan umurnya dan sehat selalu""",Non-bullying,29 November 2020,@rosameldianti_,,,hbd mbak mel cantik panjang umur sehat,"['hbd', 'mbak', 'mel', 'cantik', 'panjang', 'umur', 'sehat']"
157,158,@oliviacheecerezta,"""berdiri di kaki sendiri lebih baik""",Non-bullying,29 November 2020,@rosameldianti_,,,diri kaki,"['diri', 'kaki']"
158,159,@_syakilaadinan_,"""Biar di edit2 kaya apa juga tetap aja ketiak hitam nya ga bisa di bohongin""",Bullying,29 November 2020,@rosameldianti_,,,biar edit kayak ketiak hitam enggak bohongin,"['biar', 'edit', 'kayak', 'ketiak', 'hitam', 'enggak', 'bohongin']"
159,160,@ulfahh_zakiya,"""Sumpah demi apapun.. Lengan nya gede banget""",Bullying,29 November 2020,@rosameldianti_,,,sumpah apa lengan gede,"['sumpah', 'apa', 'lengan', 'gede']"
160,161,@ummu.valen,"""Selamat ulang tahun panjang umur sampai ketemu dajjal""",Bullying,29 November 2020,@rosameldianti_,,,selamat ulang umur ketemu dajjal,"['selamat', 'ulang', 'umur', 'ketemu', 'dajjal']"
161,162,@dicka_1991,"""Ketiak hitam buluk mau lu edit nutupin daki diketek lu tetap aka hitam ketiak lu, dasar Dugong @rosameldianti_""",Bullying,29 November 2020,@rosameldianti_,,,ketiak hitam buluk lu edit tutup daki ketek lu aka hitam ketiak lu dasar dugong,"['ketiak', 'hitam', 'buluk', 'lu', 'edit', 'tutup', 'daki', 'ketek', 'lu', 'aka', 'hitam', 'ketiak', 'lu', 'dasar', 'dugong']"
162,163,@ridho52517,"""Di atm tinggal 150 ribu aja banyak gaya lu dugong""",Bullying,29 November 2020,@rosameldianti_,,,atm tinggal ribu gaya lu dugong,"['atm', 'tinggal', 'ribu', 'gaya', 'lu', 'dugong']"
163,164,@indah_zahin,"""Gak ada bagus2nya suara dan polanya.""",Bullying,29 November 2020,@rosameldianti_,,,enggak bagus pola,"['enggak', 'bagus', 'pola']"
164,165,@ginaiswahyuningsih,"""Si Meldi jelek aja banyak gaya. Beda banget sm tante n sepupunya yang udah jelas2 cantik""",Bullying,29 November 2020,@rosameldianti_,,,meldi jelek gaya beda tante n sepupu cantik,"['meldi', 'jelek', 'gaya', 'beda', 'tante', 'n', 'sepupu', 'cantik']"
165,166,@sasqiaraz,"""Tapi dia sekarang dah berubah gak kayak dulu kalau yang gue lihat""",Non-bullying,29 November 2020,@rosameldianti_,,,deh ubah enggak kayak lihat,"['deh', 'ubah', 'enggak', 'kayak', 'lihat']"
166,167,@darkangel025_,"""Ngedit ketiaknya berapa lah dah itu ya ampe ngeblur pisan.. Putihnya kek cat tembok""",Bullying,29 November 2020,@rosameldianti_,,,ngedit ketiak deh ngeblur pis putih kayak cat tembok,"['ngedit', 'ketiak', 'deh', 'ngeblur', 'pis', 'putih', 'kayak', 'cat', 'tembok']"
167,168,@biankarachel,"""Aduh dugong masih aja gila filter.""",Bullying,29 November 2020,@rosameldianti_,,,aduh dugong gila filter,"['aduh', 'dugong', 'gila', 'filter']"
168,169,@zaskiaaaa97,"""Sekarang bukan muka aja yang didempul, tapi ketiak juga""",Bullying,29 November 2020,@rosameldianti_,,,muka dempul ketiak,"['muka', 'dempul', 'ketiak']"
169,170,@awanpanas125,"""Kasian kebelet artis tapi gak punya bakat""",Bullying,29 November 2020,@rosameldianti_,,,kasihan kebelet artis enggak bakat,"['kasihan', 'kebelet', 'artis', 'enggak', 'bakat']"
170,171,@hugoovianaaa,"""Yang merasa peliharaannya lepas, tolong diangkut""",Bullying,29 November 2020,@rosameldianti_,,,pelihara lepas tolong angkut,"['pelihara', 'lepas', 'tolong', 'angkut']"
171,172,@christinaona5,"""Miris banget ultah bukan didoain yang baik2 tapi tetap di bully kasian !! God bless u mel""",Non-bullying,29 November 2020,@rosameldianti_,,,miris ultah didoain bully kasihan god bles lu mel,"['miris', 'ultah', 'didoain', 'bully', 'kasihan', 'god', 'bles', 'lu', 'mel']"
172,173,@lunaaluna91,"""Mudah mudahan lu jadi gembel. Amin ya Allah""",Bullying,29 November 2020,@rosameldianti_,,,mudah mudah lu gembel amin allah,"['mudah', 'mudah', 'lu', 'gembel', 'amin', 'allah']"
173,174,@putri_lintang0,"""Ketiaknya hitam dikasih bedak jadi nya abu"" monyet""",Bullying,29 November 2020,@rosameldianti_,,,ketiak hitam kasih bedak abu monyet,"['ketiak', 'hitam', 'kasih', 'bedak', 'abu', 'monyet']"
174,175,@ananda_dhenanda,"""Heran gua mah kalau gasuka gausah di follow dah tau ni akun private kalo lu tetap follow dan ngebuli tanda nya lu sirik. Gasuka ya gausah diliat, kaya dirinya sempurna aja""",Non-bullying,29 November 2020,@rosameldianti_,,,heran gasuka enggak follow deh tau nih akun private kalo lu follow ngebuli tanda lu sirik gasuka enggak kayak sempurna,"['heran', 'gasuka', 'enggak', 'follow', 'deh', 'tau', 'nih', 'akun', 'private', 'kalo', 'lu', 'follow', 'ngebuli', 'tanda', 'lu', 'sirik', 'gasuka', 'enggak', 'kayak', 'sempurna']"
175,176,@forthriftpurpose,"""Gua berharap lu aja si yg sakit bukan laura lol""",Bullying,8 Agustus 2020,@gagamuhammad,,#VALUE!,harap lu sakit laura lol,"['harap', 'lu', 'sakit', 'laura', 'lol']"
176,177,@lailyfazriah,"""Harusnya lo aja yang menderitaaa bukan lora anj!!!!!!!!!""",Bullying,8 Agustus 2020,@gagamuhammad,,,lo derita lora anjing,"['lo', 'derita', 'lora', 'anjing']"
177,178,@masihadanamanya,"""GAGA SEMPET BENERAN LORA LO TINGGALIN, LO ORANG PALING JAHAT GA!!!! LO GAK BAKAL BAHAGIA GA""",Bullying,8 Agustus 2020,@gagamuhammad,,,gaga benar lora lo tinggal lo orang jahat enggak lo enggak bahagia enggak,"['gaga', 'benar', 'lora', 'lo', 'tinggal', 'lo', 'orang', 'jahat', 'enggak', 'lo', 'enggak', 'bahagia', 'enggak']"
178,179,@nandaanvta_,"""Lu bener' ga.kalo sempet nyakitin lora gue santet!!!!!""",Bullying,8 Agustus 2020,@gagamuhammad,,,lu enggak kalo sakit lora santet,"['lu', 'enggak', 'kalo', 'sakit', 'lora', 'santet']"
179,180,@ptriazkytlf,"""Si gaga kok kek anjing""",Bullying,8 Agustus 2020,@gagamuhammad,,,gaga kayak anjing,"['gaga', 'kayak', 'anjing']"
180,181,@dandipriambodo,"""Semangat gaga, jangan liat kebelakang fokus aja kedepan, masih muda masih banyak yg lebih baik juga.""",Non-bullying,8 Agustus 2020,@gagamuhammad,,,semangat gaga lihat belakang fokus depan muda,"['semangat', 'gaga', 'lihat', 'belakang', 'fokus', 'depan', 'muda']"
181,182,@fauziahamanda_02,"""Gak ada cantiknya. Gila yang ada""",Bullying,13 Januari 2021,@rosameldianti_,,,enggak cantik gila,"['enggak', 'cantik', 'gila']"
182,183,@rezaadhitia_,"""meldi makin bersinar yaaa, pertahanin karir jgn di sia siain""",Non-bullying,13 Januari 2021,@rosameldianti_,,,meldi sinar pertahanin karir sia siain,"['meldi', 'sinar', 'pertahanin', 'karir', 'sia', 'siain']"
183,184,@anq.olshop,"""Tetap semangat. sebaik apapun kamu akan dalah Dimata pembenci..""",Non-bullying,13 Januari 2021,@rosameldianti_,,,semangat apa dalah mata benci,"['semangat', 'apa', 'dalah', 'mata', 'benci']"
184,185,@maya_purple14,"""Asli gak ada bebet bobo ni anak. kasihan sekali.""",Bullying,13 Januari 2021,@rosameldianti_,,,asli enggak bebet bobo nih anak kasihan,"['asli', 'enggak', 'bebet', 'bobo', 'nih', 'anak', 'kasihan']"
185,186,@hannyjamal33,"""kumat lama semedinya segini keluarnya""",Bullying,13 Januari 2021,@rosameldianti_,,,kumat semedinya gin keluar,"['kumat', 'semedinya', 'gin', 'keluar']"
186,187,@zulfaqinan,"""Tangannya hitam beda ama muka""",Bullying,13 Januari 2021,@rosameldianti_,,,tangan hitam beda muka,"['tangan', 'hitam', 'beda', 'muka']"
187,188,@sabil.naura.2,"""Kok meldi di foto aku gendut beda""",Bullying,13 Januari 2021,@rosameldianti_,,,meldi foto gendut beda,"['meldi', 'foto', 'gendut', 'beda']"
188,189,@adiknya_wwatch.ig,"""Gatau sih, cantik tapi gak ada aura nya sama sekali . Cantik tapi idih gitu lihatnya , kenapa yaa ??""",Bullying,13 Januari 2021,@rosameldianti_,,,enggak tau cantik enggak aura cantik idih lihat,"['enggak', 'tau', 'cantik', 'enggak', 'aura', 'cantik', 'idih', 'lihat']"
189,190,@dewie_ten11,"""Baik buruk nya kamu akan tetap terlihat buruk di mata mereka yang ga menyukai mu..""",Non-bullying,13 Januari 2021,@rosameldianti_,,,buruk buruk mata enggak suka mu,"['buruk', 'buruk', 'mata', 'enggak', 'suka', 'mu']"
190,191,@louizee_fa,"""Gila ni siluman,, di story orang lain keliatan banget tumpukan2 lemaknya, buriknya apalagi""",Bullying,13 Januari 2021,@rosameldianti_,,,gila nih siluman story orang tumpu lemak burik,"['gila', 'nih', 'siluman', 'story', 'orang', 'tumpu', 'lemak', 'burik']"
191,192,@hendrik_baronn,"""Dasar Bego lu.. gua jijik sama lu bro kayak gak punya otak banget""",Bullying,5 Mei 2020,@ferdianpalekaa00,,,dasar bego lu jijik lu bro kayak enggak otak,"['dasar', 'bego', 'lu', 'jijik', 'lu', 'bro', 'kayak', 'enggak', 'otak']"
192,193,@adellaberrr,"""Lo kira lo bagus tuh begitu anjing wkwkw""",Bullying,5 Mei 2020,@ferdianpalekaa00,,,lo lo bagus tuh anjing wkwkw,"['lo', 'lo', 'bagus', 'tuh', 'anjing', 'wkwkw']"
193,194,@ha_ri2431,"""Di maafin aaa semoga dia jera untuk kedepannya""",Non-bullying,5 Mei 2020,@ferdianpalekaa00,,,maaf a moga jera depan,"['maaf', 'a', 'moga', 'jera', 'depan']"
194,195,@kicek_kocak,"""Eh bocah mending Lo mati aja GAK guna juga ada orang kayak lo hahahahaha""",Bullying,5 Mei 2020,@ferdianpalekaa00,,,eh bocah mending lo mati enggak orang kayak lo hahahahaha,"['eh', 'bocah', 'mending', 'lo', 'mati', 'enggak', 'orang', 'kayak', 'lo', 'hahahahaha']"
195,196,@azzamyluth6802,"""Btw yang video tapi boong itu dia buat nya tahun lalu bukan pas masalah yang sekarang kalau gak percaya lihat tribun news jadi jangan hujat dia lagi ya""",Non-bullying,5 Mei 2020,@ferdianpalekaa00,,,btw video bohong enggak percaya lihat tribun news hujat,"['btw', 'video', 'bohong', 'enggak', 'percaya', 'lihat', 'tribun', 'news', 'hujat']"
196,197,@louis.edrt,"""Okay bro kalem aja, tetap semangat dan jangan putus asa""",Non-bullying,5 Mei 2020,@ferdianpalekaa00,,,okay bro kalem semangat putus asa,"['okay', 'bro', 'kalem', 'semangat', 'putus', 'asa']"
197,198,@fran_oez11,"""Lu Mati ajalah . Udah biar gak bikin ribet""",Bullying,5 Mei 2020,@ferdianpalekaa00,,,lu mati aja biar enggak bikin ribet,"['lu', 'mati', 'aja', 'biar', 'enggak', 'bikin', 'ribet']"
198,199,@setiawan_jo22,"""SAMPAH MASYARAKAT HARUS DI MUSNAHKAN SEGERA""",Bullying,5 Mei 2020,@ferdianpalekaa00,,,sampah masyarakat musnah,"['sampah', 'masyarakat', 'musnah']"
199,200,@iibaaall,"""MATI KAU NAJIS KONTOL BANGSAT MATI KAU""",Bullying,5 Mei 2020,@ferdianpalekaa00,,,mati najis kontol bangsat mati,"['mati', 'najis', 'kontol', 'bangsat', 'mati']"
200,201,@setyawan_yoyok,"""youtuber toxic, tutup akunmu sekalian tutup usia""",Bullying,5 Mei 2020,@ferdianpalekaa00,,,youtuber toxic tutup akun tutup usia,"['youtuber', 'toxic', 'tutup', 'akun', 'tutup', 'usia']"
201,202,@gunawan_fahreza,"""Pada ribet kayak udah pada benar aja lu semua""",Non-bullying,5 Mei 2020,@ferdianpalekaa00,,,ribet kayak lu,"['ribet', 'kayak', 'lu']"
202,203,@zr_cho,"""Jangan ada hitam diatas putih. Langsung proses""",Non-bullying,5 Mei 2020,@ferdianpalekaa00,,,hitam atas putih langsung proses,"['hitam', 'atas', 'putih', 'langsung', 'proses']"
203,204,@farhanaja_,"""Kalau sayang sama anaknya ya di serahkan aja ke polisi biar di didik sekalian""",Non-bullying,5 Mei 2020,@ferdianpalekaa00,,,sayang anak serah polisi biar didik,"['sayang', 'anak', 'serah', 'polisi', 'biar', 'didik']"
204,205,@lastriani05,"""Manusia apa hewan sih kok gak punya hati banget""",Bullying,5 Mei 2020,@ferdianpalekaa00,,,manusia hewan enggak hati,"['manusia', 'hewan', 'enggak', 'hati']"
205,206,@adhiprasetyop,"""Manusia anjing. Nyari uang gitu amat. Lo kerja aja sama gue nyebokin gue ntar gue gaji lo.""",Bullying,5 Mei 2020,@ferdianpalekaa00,,,manusia anjing cari uang lo kerja nyebokin entar gaji lo,"['manusia', 'anjing', 'cari', 'uang', 'lo', 'kerja', 'nyebokin', 'entar', 'gaji', 'lo']"
206,207,@arief_metafora_,"""maklum anak kurang pendidikan kayak gitu gak punya akhlak""",Bullying,5 Mei 2020,@ferdianpalekaa00,,,maklum anak didik kayak enggak akhlak,"['maklum', 'anak', 'didik', 'kayak', 'enggak', 'akhlak']"
207,208,@mr_mantako,"""Anjing memang anak gak tau diri. ibunya sampai nangis2""",Bullying,5 Mei 2020,@ferdianpalekaa00,,,anjing anak enggak tau ibu menang,"['anjing', 'anak', 'enggak', 'tau', 'ibu', 'menang']"
208,209,@erikkansona,"""oi babi gue bunuh lu kalau sampai kelihatan sumpah""",Bullying,22 Mei 2020,@ferdianpalekaa00,,,oi babi bunuh lu sumpah,"['oi', 'babi', 'bunuh', 'lu', 'sumpah']"
209,210,@bagusssrh,"""Heee sampah lu udah gua maafin TAPI BOONG GOBLOK""",Bullying,22 Mei 2020,@ferdianpalekaa00,,,he sampah lu maaf bohong goblok,"['he', 'sampah', 'lu', 'maaf', 'bohong', 'goblok']"
210,211,@ibnufasha_16,"""ANJING SINI LO BAKU HANTAM AYO""",Bullying,22 Mei 2020,@ferdianpalekaa00,,,anjing lo baku hantam ayo,"['anjing', 'lo', 'baku', 'hantam', 'ayo']"
211,212,@zibah25,"""Bangkit ya bang jangan lemah buat pelajaran dan ujian buat lu jadi yang lebih baik lagi bang""",Non-bullying,28 Juni 2020,@ferdianpalekaa00,,,bangkit bang lemah ajar uji lu bang,"['bangkit', 'bang', 'lemah', 'ajar', 'uji', 'lu', 'bang']"
212,213,@adeellristi13_,"""Jangan patah semngat kak sukses terus""",Non-bullying,28 Juni 2020,@ferdianpalekaa00,,,patah semangat kak sukses,"['patah', 'semangat', 'kak', 'sukses']"
213,214,@onlyone_dhii,"""Semangat Ferdian gausah dengerin orang yang hujat kamu, karena semua manusia tidak luput dari kesalahan""",Non-bullying,28 Juni 2020,@ferdianpalekaa00,,,semangat ferdian enggak dengar orang hujat manusia luput salah,"['semangat', 'ferdian', 'enggak', 'dengar', 'orang', 'hujat', 'manusia', 'luput', 'salah']"
